architecture,training_seed,budget,objective,selection,restart,attack_loss,accuracy_pct,normalized_accuracy,rho_abs,rho_rel_calibration,n_eff,max_layer_share,dominant_layer,entropy_normalized,identity_relative_error,c_L1,c_L2,c_L3,c_L4,c_L5,c_L6,c_L7,c_L8,c_L9,c_L10,c_L11,c_L12
vitb,1011,0.02,task_loss,rho_selected,1,7.38474991619587,2.0496535796766744,0.024921024921024923,0.13369023892709359,0.09589502925929,7.354100857463716,0.2891758832230588,3,0.9030735904206466,1.9411578502334509e-16,0.008035990897989348,0.05905577045168431,0.2891758832230588,0.07322703780115362,0.11090988934083001,0.08216168019518512,0.067250602271158,0.07273380962798473,0.07622895476561051,0.053772834122689246,0.046573686708324506,0.060873860594331794
vitb,1011,0.015,task_loss,loss_selected,3,6.349634742736816,3.6662817551963047,0.044577044577044575,0.13466951227496046,0.09659745485969415,7.653336826637021,0.26640103984878294,3,0.9045483510510132,0.0,0.006309820762471893,0.053126810963780656,0.26640103984878294,0.08014113585741085,0.13462063909386293,0.09830108857643984,0.0725796153200885,0.07144648030878942,0.07052589642018088,0.047236406118970106,0.04214457517665689,0.05716649155256513
vitb,1011,0.015,task_loss,rho_selected,0,6.349634718894959,3.695150115473441,0.044928044928044926,0.1346820418628117,0.09660644224129541,7.653934831632707,0.2663818615763278,3,0.9045642337744363,1.912673618174758e-16,0.006308262205086278,0.053137530853230364,0.2663818615763278,0.08014330115806678,0.13460749631547542,0.09829350395733742,0.07257714250217366,0.07145752803578645,0.0705347199555413,0.04723987991180138,0.042147959868164164,0.057170813661008985
vitb,1011,0.009,task_loss,loss_selected,0,3.165056137740612,32.99653579676674,0.4011934011934012,0.12332321844865589,0.08845884139628837,6.247512084078051,0.32185967312323344,3,0.8600604727781193,0.0,0.007447625816903236,0.044279582142360455,0.32185967312323344,0.08570322973753769,0.1482912942335459,0.09890538540617975,0.06715187716692038,0.05871669737342976,0.052032715431268056,0.03454552163781426,0.03072021336068738,0.050346184570119745
vitb,1011,0.009,task_loss,rho_selected,0,3.165056137740612,32.99653579676674,0.4011934011934012,0.12332321844865589,0.08845884139628837,6.247512084078051,0.32185967312323344,3,0.8600604727781193,0.0,0.007447625816903236,0.044279582142360455,0.32185967312323344,0.08570322973753769,0.1482912942335459,0.09890538540617975,0.06715187716692038,0.05871669737342976,0.052032715431268056,0.03454552163781426,0.03072021336068738,0.050346184570119745
vitb,42,0.01,task_loss,loss_selected,4,4.275214865803719,14.405311778290994,0.176076217360621,0.12931294232521273,0.09376378049660059,9.225352637127378,0.1721026177482359,5,0.936563352680606,0.0,0.008368669939350594,0.09021856254158145,0.15006161721123087,0.13220565017005104,0.1721026177482359,0.0996433588760998,0.05517757800992464,0.05403188319029535,0.06033221689173999,0.049234086906111606,0.05122434728680254,0.07739941122857624
vitb,42,0.01,task_loss,rho_selected,3,4.275175839662552,14.405311778290994,0.176076217360621,0.1293136754363633,0.09376431206963391,9.225402300217851,0.17210103519940956,5,0.9365645254781395,2.0747765947048308e-16,0.00836866441267345,0.090218233605814,0.1500605322973157,0.13220552466550334,0.17210103519940956,0.0996433737813495,0.055177764082862166,0.054031941386078565,0.06033245623405682,0.0492348923814247,0.05122512729487677,0.07740045465863547
vitb,42,0.02,task_loss,loss_selected,4,7.077120926976204,1.8475750577367205,0.02258292166549047,0.13608617994933347,0.09867500093919311,8.906668069709777,0.20338074659201266,3,0.9335408378880834,1.873407286241798e-16,0.012598613901959899,0.1328540913954636,0.20338074659201266,0.12412242851856606,0.11343157188622735,0.07157757960197225,0.048543579448049025,0.050829128382682755,0.0642784124347843,0.055381200549006825,0.06035605131551871,0.06264659597375653
vitb,42,0.02,task_loss,rho_selected,3,7.0771004289388655,1.8475750577367205,0.02258292166549047,0.13608734897755315,0.09867584859220768,8.90643815811366,0.2033878812591118,3,0.9335353045803002,1.8733751001996073e-16,0.012598242838912569,0.13285935773369464,0.2033878812591118,0.12412460692426479,0.1134295632290314,0.07157521262173319,0.04854230130045165,0.050827701356060344,0.06427687338416059,0.05537979936204332,0.060354583778143796,0.0626438762123919
vitb,42,0.015,task_loss,loss_selected,4,5.668375623226166,0.894919168591224,0.010938602681721947,0.1470655339067488,0.1066360427030449,10.534819343960956,0.13002572294669695,5,0.9642299245875293,1.604125872900638e-16,0.007648355023123814,0.07922018922194726,0.1299484220809851,0.1053241981497008,0.13002572294669695,0.09402765937921322,0.06360990687379584,0.06482108945514492,0.08299229711881533,0.07678375356043358,0.07510384635541395,0.09049455983472927
vitb,42,0.015,task_loss,rho_selected,3,5.668356683850289,0.894919168591224,0.010938602681721947,0.14706556644431307,0.10663606629577256,10.534830479012198,0.13002494078563415,5,0.9642301428698418,0.0,0.007648423013666371,0.07922002622004362,0.12994796189795116,0.10532385247675716,0.13002494078563415,0.09402745663274711,0.06360961829004745,0.06482085135755647,0.08299167896787882,0.07678381333044365,0.07510444058232675,0.09049693644494732
vitb,42,0.009,task_loss,loss_selected,4,3.440603243559599,27.424942263279444,0.33521524347212417,0.1205448183958183,0.08740608394512064,8.657632008157956,0.18331954060296243,5,0.9219302200073584,0.0,0.009272742205933234,0.09539745857735143,0.16229240190918562,0.14062387370351004,0.18331954060296243,0.10349948150486524,0.05444651883699085,0.05115904625149125,0.055954275978326105,0.041307310725970214,0.04159200088567148,0.06113534881774214
vitb,42,0.009,task_loss,rho_selected,0,3.440591129660606,27.424942263279444,0.33521524347212417,0.12054504363002716,0.08740624726064451,8.657635985378922,0.183320273912708,5,0.9219306031495089,1.1937999018671658e-16,0.009273145513943681,0.09539783855377731,0.16229163320239492,0.14062399279075538,0.183320273912708,0.10349861997269269,0.05444681179249701,0.05115885536596767,0.05595469386114356,0.04130724920466239,0.041592125776901946,0.061134760052555415
vits,789,0.0095,task_loss,loss_selected,0,3.839507158100605,18.100461893764436,0.22925045703839125,0.12572646444854121,0.08991900636718105,9.462933044965244,0.15211982086302225,3,0.9389943439386289,2.1948601101390574e-16,0.006662433892950726,0.04319436727007373,0.15211982086302225,0.10301684785174105,0.1467672645080156,0.11083610407712755,0.12660375182426456,0.07978653022100585,0.07251187000165442,0.059108883659046776,0.05682093510704223,0.04257119072405522
