dataset,family,seed,draw_seed,budget,rho,accuracy,source
cifar,learned,123,1322018208,0.02,0.1372906103424728,1.0019080659150044,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.03,0.21206056627857928,0.9970511708586297,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.04,0.28019459602847974,0.9861231569817865,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1322018208,0.05,0.3416765224291263,0.9758889852558542,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.0025,0.015423571550498767,0.9993061578490894,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.005,0.03111541612725377,1.0,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.01,0.06432729415143801,0.9982653946227233,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.015,0.1006347496717657,0.9956634865568084,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.02,0.13914818702452883,0.9930615784908934,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.03,0.21532567489687487,0.989071986123157,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.04,0.28470434919948084,0.9840416305290545,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1910794309,0.05,0.3470603530409821,0.9732870771899392,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.0025,0.016158107223862246,1.000520381613183,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.005,0.032587061652279856,1.0003469210754554,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.01,0.06710172890615651,0.9987857762359064,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.015,0.10429213130995975,0.9980919340849956,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.02,0.1431476155458609,0.9960104076322637,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.03,0.21966864007696243,0.9909800520381613,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.04,0.28917612579508684,0.9830008673026885,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1432882998,0.05,0.3515204556982851,0.9724197745013009,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.0025,0.015048583730142907,1.0001734605377277,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.005,0.030399214138040226,1.0001734605377277,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.01,0.06291711916047171,1.000520381613183,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.015,0.09838729661305484,1.0006938421509106,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.02,0.13603887833176426,0.9993061578490894,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.03,0.21098665405601444,0.990633130962706,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.04,0.27927059832854134,0.9835212489158716,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,4050907,0.05,0.340542329937238,0.9708586296617518,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.0025,0.01526495941638456,1.0,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.005,0.030850347356565076,1.0006938421509106,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.01,0.06395843449206405,0.997918473547268,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.015,0.10021589012097322,0.997398091934085,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.02,0.13862177288808636,0.995316565481353,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.03,0.214143184934874,0.9878577623590634,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.04,0.2821923598979417,0.9835212489158716,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,815771577,0.05,0.34306339112615963,0.9661751951431049,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.0025,0.014887609377380082,1.0008673026886383,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.005,0.030097434836509278,1.0017346053772767,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.01,0.062545457620652,0.999479618386817,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.015,0.0982660453582631,1.0003469210754554,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.02,0.13617975088869708,0.998438855160451,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.03,0.21125600748965048,0.9908065915004337,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.04,0.2797035393735358,0.9783174327840415,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,learned,123,1821774437,0.05,0.3417504229722516,0.9703382480485688,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.01,0.015596898228828954,0.9992968887326418,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.025,0.039280009185079165,0.9966602214800491,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.05,0.08029504484946778,0.9949024433116539,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.075,0.12283710848296292,0.9917384426085426,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.1,0.16462922830710425,0.9820706626823693,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.15,0.2396173970748077,0.9650202144489365,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,sinusoidal,42,1712846226,0.2,0.3038176367470448,0.9360168746704165,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
