dataset,family,seed,regime,point_index,rho,accuracy,exact_clean_anchor,adversarial_lower_envelope
imagenet,sinusoidal,123,noise,1,0.007993780451881085,0.9994326241134752,False,False
imagenet,sinusoidal,123,noise,2,0.020098932352603367,0.998404255319149,False,False
imagenet,sinusoidal,123,noise,3,0.0409728341579909,0.998758865248227,False,False
imagenet,sinusoidal,123,noise,4,0.08590636893715196,0.99822695035461,False,False
imagenet,sinusoidal,123,noise,5,0.18051163740030665,0.991808510638298,False,False
imagenet,sinusoidal,123,adversarial,0,0.0,1.0,True,True
imagenet,sinusoidal,123,adversarial,1,0.0070253496644224695,0.9882978723404257,False,True
imagenet,sinusoidal,123,adversarial,2,0.02213642838910859,0.9624113475177306,False,True
imagenet,sinusoidal,123,adversarial,3,0.04783007502869729,0.924468085106383,False,True
imagenet,sinusoidal,123,adversarial,4,0.0755758041346782,0.7549645390070923,False,True
imagenet,sinusoidal,123,adversarial,5,0.088097816001208,0.498581560283688,False,True
imagenet,sinusoidal,123,adversarial,6,0.09365443265874125,0.3067375886524823,False,True
imagenet,sinusoidal,123,adversarial,7,0.09484895419774633,0.019858156028368795,False,True
imagenet,sinusoidal,123,adversarial,8,0.09746627733932789,0.019858156028368795,False,True
imagenet,sinusoidal,123,adversarial_raw,0,0.0,1.0,True,False
imagenet,sinusoidal,123,adversarial_raw,1,0.0070253496644224695,0.9882978723404257,False,False
imagenet,sinusoidal,123,adversarial_raw,2,0.02213642838910859,0.9624113475177306,False,False
imagenet,sinusoidal,123,adversarial_raw,3,0.04783007502869729,0.924468085106383,False,False
imagenet,sinusoidal,123,adversarial_raw,4,0.0755758041346782,0.7549645390070923,False,False
imagenet,sinusoidal,123,adversarial_raw,5,0.088097816001208,0.498581560283688,False,False
imagenet,sinusoidal,123,adversarial_raw,6,0.09365443265874125,0.3067375886524823,False,False
imagenet,sinusoidal,123,adversarial_raw,7,0.09484895419774633,0.019858156028368795,False,False
imagenet,sinusoidal,123,adversarial_raw,8,0.09746627733932789,0.18368794326241136,False,False
imagenet,sinusoidal,456,noise,0,0.0,1.0,True,False
imagenet,sinusoidal,456,noise,1,0.008251360738838257,1.000071098471383,False,False
imagenet,sinusoidal,456,noise,2,0.020726955225029858,0.9993956629932457,False,False
imagenet,sinusoidal,456,noise,3,0.04217409329938733,0.99825808745112,False,False
imagenet,sinusoidal,456,noise,4,0.08796075391512195,0.9962673302523996,False,False
imagenet,sinusoidal,456,noise,5,0.18342490041843998,0.988162104514753,False,False
imagenet,sinusoidal,456,adversarial,0,0.0,1.0,True,True
imagenet,sinusoidal,456,adversarial,1,0.006791262570392758,0.9879132598649129,False,True
imagenet,sinusoidal,456,adversarial,2,0.017250486504273257,0.967294703163882,False,True
imagenet,sinusoidal,456,adversarial,3,0.026714415137341643,0.9512975471027373,False,True
imagenet,sinusoidal,456,adversarial,4,0.05495571021801737,0.9125488801990757,False,True
imagenet,sinusoidal,456,adversarial,5,0.08216528832318418,0.7511553501599716,False,True
imagenet,sinusoidal,456,adversarial,6,0.09265649757762363,0.4998222538215429,False,True
imagenet,sinusoidal,456,adversarial,7,0.09771691619260302,0.01848560255954497,False,True
imagenet,sinusoidal,456,adversarial,8,0.09835189798621874,0.01848560255954497,False,True
imagenet,sinusoidal,456,adversarial_raw,0,0.0,1.0,True,False
imagenet,sinusoidal,456,adversarial_raw,1,0.006791262570392758,0.9879132598649129,False,False
imagenet,sinusoidal,456,adversarial_raw,2,0.017250486504273257,0.967294703163882,False,False
imagenet,sinusoidal,456,adversarial_raw,3,0.026714415137341643,0.9512975471027373,False,False
imagenet,sinusoidal,456,adversarial_raw,4,0.05495571021801737,0.9125488801990757,False,False
imagenet,sinusoidal,456,adversarial_raw,5,0.08216528832318418,0.7511553501599716,False,False
imagenet,sinusoidal,456,adversarial_raw,6,0.09265649757762363,0.4998222538215429,False,False
imagenet,sinusoidal,456,adversarial_raw,7,0.09771691619260302,0.01848560255954497,False,False
imagenet,sinusoidal,456,adversarial_raw,8,0.09835189798621874,0.28226093138997516,False,False
imagenet,sinusoidal,789,noise,0,0.0,1.0,True,False
imagenet,sinusoidal,789,noise,1,0.008233551433606436,0.9991166077738516,False,False
imagenet,sinusoidal,789,noise,2,0.020727932488189393,0.9981625441696111,False,False
imagenet,sinusoidal,789,noise,3,0.042412363932143544,0.9962190812720848,False,False
imagenet,sinusoidal,789,noise,4,0.08909906408722312,0.9934628975265017,False,False
imagenet,sinusoidal,789,noise,5,0.18468987134887838,0.9836395759717315,False,False
imagenet,sinusoidal,789,adversarial,0,0.0,1.0,True,True
imagenet,sinusoidal,789,adversarial,1,0.007077614218340129,0.9848056537102473,False,True
imagenet,sinusoidal,789,adversarial,2,0.018402315142462652,0.9632508833922261,False,True
imagenet,sinusoidal,789,adversarial,3,0.033793129323895166,0.9353356890459364,False,True
imagenet,sinusoidal,789,adversarial,4,0.0664768161439356,0.8600706713780918,False,True
imagenet,sinusoidal,789,adversarial,5,0.08231993226360206,0.6837455830388692,False,True
imagenet,sinusoidal,789,adversarial,6,0.08964630581603189,0.47102473498233216,False,True
imagenet,sinusoidal,789,adversarial,7,0.09197322250124108,0.30459363957597174,False,True
imagenet,sinusoidal,789,adversarial,8,0.10188481685349114,0.028621908127208478,False,True
imagenet,sinusoidal,789,adversarial_raw,0,0.0,1.0,True,False
imagenet,sinusoidal,789,adversarial_raw,1,0.007077614218340129,0.9848056537102473,False,False
imagenet,sinusoidal,789,adversarial_raw,2,0.018402315142462652,0.9632508833922261,False,False
imagenet,sinusoidal,789,adversarial_raw,3,0.033793129323895166,0.9353356890459364,False,False
imagenet,sinusoidal,789,adversarial_raw,4,0.0664768161439356,0.8600706713780918,False,False
imagenet,sinusoidal,789,adversarial_raw,5,0.08231993226360206,0.6837455830388692,False,False
imagenet,sinusoidal,789,adversarial_raw,6,0.08964630581603189,0.47102473498233216,False,False
imagenet,sinusoidal,789,adversarial_raw,7,0.09197322250124108,0.30459363957597174,False,False
imagenet,sinusoidal,789,adversarial_raw,8,0.10188481685349114,0.028621908127208478,False,False
imagenet,sinusoidal,1011,noise,0,0.0,1.0,True,False
imagenet,sinusoidal,1011,noise,1,0.008692496740717323,0.9990171990171991,False,False
imagenet,sinusoidal,1011,noise,2,0.021741212473403153,0.9986310986310987,False,False
imagenet,sinusoidal,1011,noise,3,0.043985560978728244,0.9984906984906985,False,False
imagenet,sinusoidal,1011,noise,4,0.09079362323834637,0.994980694980695,False,False
imagenet,sinusoidal,1011,noise,5,0.18656388633628007,0.9833625833625834,False,False
imagenet,sinusoidal,1011,adversarial,0,0.0,1.0,True,True
imagenet,sinusoidal,1011,adversarial,1,0.00620397376379672,0.987012987012987,False,True
imagenet,sinusoidal,1011,adversarial,2,0.018066761528137475,0.9687609687609687,False,True
imagenet,sinusoidal,1011,adversarial,3,0.032383096373176413,0.9431379431379432,False,True
imagenet,sinusoidal,1011,adversarial,4,0.06262430121714936,0.8557388557388558,False,True
imagenet,sinusoidal,1011,adversarial,5,0.07948579220604257,0.6525096525096525,False,True
imagenet,sinusoidal,1011,adversarial,6,0.08845850008529103,0.4011934011934012,False,True
imagenet,sinusoidal,1011,adversarial,7,0.09361133010580415,0.22744822744822743,False,True
imagenet,sinusoidal,1011,adversarial,8,0.09574811439212834,0.024921024921024923,False,True
imagenet,sinusoidal,1011,adversarial_raw,0,0.0,1.0,True,False
imagenet,sinusoidal,1011,adversarial_raw,1,0.00620397376379672,0.987012987012987,False,False
imagenet,sinusoidal,1011,adversarial_raw,2,0.018066761528137475,0.9687609687609687,False,False
imagenet,sinusoidal,1011,adversarial_raw,3,0.032383096373176413,0.9431379431379432,False,False
imagenet,sinusoidal,1011,adversarial_raw,4,0.06262430121714936,0.8557388557388558,False,False
imagenet,sinusoidal,1011,adversarial_raw,5,0.07948579220604257,0.6525096525096525,False,False
imagenet,sinusoidal,1011,adversarial_raw,6,0.08845850008529103,0.4011934011934012,False,False
imagenet,sinusoidal,1011,adversarial_raw,7,0.09361133010580415,0.22744822744822743,False,False
imagenet,sinusoidal,1011,adversarial_raw,8,0.09574811439212834,0.024921024921024923,False,False
imagenet,sinusoidal,1213,noise,0,0.0,1.0,True,False
imagenet,sinusoidal,1213,noise,1,0.008029730471817643,0.9993917710196781,False,False
imagenet,sinusoidal,1213,noise,2,0.020208058528141965,0.9991771019677997,False,False
imagenet,sinusoidal,1213,noise,3,0.04129394169555151,0.9996064400715564,False,False
imagenet,sinusoidal,1213,noise,4,0.08666862113084421,0.9996422182468695,False,False
