dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources
cifar,learned,1213,0.005,0.03113486629925728,0.9997551163197482,10,0.0008505423831239152,0.0007521201327781141,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.01,0.06367968698475837,0.9990379569704391,10,0.0016595591976873913,0.0009264910840225669,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.015,0.09828123125387028,0.9980934056323246,10,0.0023682597531669122,0.0012435650890758106,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.02,0.13453129137801814,0.996519153402134,10,0.0029257836114068604,0.0021713664696425177,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.03,0.2079256568052918,0.9877733076788523,10,0.0035418097179157654,0.0022723495786648325,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.04,0.27777043600746365,0.9754416652090256,10,0.003798137306587995,0.002754841139991173,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,learned,1213,0.05,0.3422756072476298,0.961185936680077,10,0.00406629900195065,0.0035326192407355407,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,42,0.025,0.025128479433318397,0.9998704663212434,10,0.00076357720554468,0.0008034453396341836,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,42,0.05,0.050273720760301566,0.9993199481865285,10,0.0015265074489728293,0.0010842939554272324,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,42,0.1,0.10069666143926473,0.9970693005181348,10,0.0030393839681305385,0.0017329248430264538,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,42,0.2,0.2023251246078201,0.9904792746113991,10,0.005946154918824926,0.0020619986912403326,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,42,0.3,0.3048504570157955,0.9758743523316064,10,0.008451190278759927,0.005914346948101376,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
