dataset,family,regime,rho,mean_accuracy,sd_accuracy,low_accuracy,high_accuracy
imagenet,learned,noise,0.0456,0.9981471159316069,0.0010366196805443732,0.9971104962510625,0.9991837356121512
imagenet,learned,noise,0.0458375,0.9981313325217386,0.0010451069627448295,0.9970862255589937,0.9991764394844834
imagenet,learned,noise,0.046075,0.9981155491118702,0.0010536403780426857,0.9970619087338275,0.9991691894899128
imagenet,learned,noise,0.0463125,0.998099765702002,0.001062218814597478,0.9970375468874045,0.9991619845165994
imagenet,learned,noise,0.04655,0.9980839822921337,0.0010708411904228302,0.9970131411017109,0.9991548234825565
imagenet,learned,noise,0.0467875,0.9980681988822653,0.0010795064526468083,0.9969886924296185,0.999147705334912
imagenet,learned,noise,0.047025,0.998052415472397,0.0010882135767782896,0.9969642018956187,0.9991406290491752
imagenet,learned,noise,0.0472625,0.9980366320625288,0.0010969615659819677,0.9969396704965469,0.9991335936285107
imagenet,learned,noise,0.0475,0.9980208486526605,0.001105749450362629,0.9969150992022978,0.9991265981030232
imagenet,learned,noise,0.0477375,0.9980050652427922,0.0011145762862592092,0.996890488956533,0.9991196415290514
imagenet,learned,noise,0.047975,0.9979892818329237,0.0011234411555502298,0.9968658406773735,0.9991127229884739
imagenet,learned,noise,0.0482125,0.9979734984230554,0.0011323431649704668,0.9968411552580849,0.9991058415880258
imagenet,learned,noise,0.04845,0.9979577150131872,0.0011412814454397546,0.9968164335677474,0.999098996458627
imagenet,learned,noise,0.0486875,0.9979419316033189,0.00115025515140486,0.996791676451914,0.9990921867547238
imagenet,learned,noise,0.048925,0.9979261481934504,0.0011592634601937056,0.9967668847332567,0.9990854116536441
imagenet,learned,noise,0.0491625,0.9979103647835822,0.0011683055713834678,0.9967420592121987,0.9990786703549657
imagenet,learned,noise,0.0494,0.9978945813737138,0.001177380706182055,0.9967172006675318,0.9990719620798958
imagenet,learned,noise,0.0496375,0.9978787979638456,0.0011864881068229143,0.9966923098570227,0.9990652860706685
imagenet,learned,noise,0.049875,0.9978630145539773,0.0011956270359745928,0.9966673875180027,0.999058641589952
imagenet,learned,noise,0.0501125,0.9978472311441089,0.0012047967761630797,0.9966424343679459,0.9990520279202719
imagenet,learned,noise,0.05035,0.9978314477342406,0.0012139966292091264,0.9966174511050314,0.9990454443634498
imagenet,learned,noise,0.0505875,0.9978156643243724,0.0012232259156786946,0.9965924384086937,0.9990388902400511
imagenet,learned,noise,0.050825,0.9977998809145041,0.0012324839743474163,0.9965673969401567,0.9990323648888515
imagenet,learned,noise,0.0510625,0.9977840975046356,0.0012417701616793074,0.9965423273429563,0.9990258676663148
imagenet,learned,noise,0.0513,0.9977683140947673,0.001251083851318323,0.996517230243449,0.9990193979460856
imagenet,learned,noise,0.0515375,0.997752530684899,0.0012604244335938427,0.9964921062513051,0.9990129551184929
imagenet,learned,noise,0.051775,0.9977367472750308,0.0012697913150395705,0.9964669559599912,0.9990065385900704
imagenet,learned,noise,0.0520125,0.9977209638651624,0.001279183917924979,0.9964417799472374,0.9990001477830874
imagenet,learned,noise,0.05225,0.997705180455294,0.0012886016798004144,0.9964165787754936,0.9989937821350944
imagenet,learned,noise,0.0524875,0.9976893970454257,0.0012980440530543222,0.9963913529923714,0.99898744109848
imagenet,learned,noise,0.052725,0.9976736136355574,0.0013075105044829723,0.9963661031310744,0.9989811241400404
imagenet,learned,noise,0.0529625,0.997657830225689,0.0013170005148729622,0.9963408297108161,0.9989748307405619
imagenet,learned,noise,0.0532,0.9976420468158206,0.0013265135785948104,0.9963155332372258,0.9989685603944154
imagenet,learned,noise,0.0534375,0.9976262634059525,0.001336049203209116,0.9962902142027434,0.9989623126091616
imagenet,learned,noise,0.053675,0.9976104799960842,0.0013456069090836712,0.9962648730870005,0.9989560869051679
imagenet,learned,noise,0.0539125,0.997594696586216,0.0013551862290217124,0.9962395103571943,0.9989498828152378
imagenet,learned,noise,0.05415,0.9975789131763476,0.0013647867079017056,0.9962141264684459,0.9989436998842494
imagenet,learned,noise,0.0543875,0.9975631297664792,0.0013744079023269241,0.9961887218641523,0.9989375376688061
imagenet,learned,noise,0.054625,0.9975473463566109,0.0013840493802862474,0.9961632969763247,0.9989313957368972
imagenet,learned,noise,0.0548625,0.9975315629467426,0.001393710720824606,0.996137852225918,0.9989252736675672
imagenet,learned,noise,0.0551,0.9975157795368741,0.0014033915137232982,0.9961123880231508,0.9989191710505974
imagenet,learned,noise,0.0553375,0.997499996127006,0.001413091359190323,0.9960869047678157,0.9989130874861963
imagenet,learned,noise,0.055575,0.9974842127171376,0.001422809867559501,0.9960614028495781,0.9989070225846971
imagenet,learned,noise,0.0558125,0.9974684293072693,0.001432546658999123,0.9960358826482701,0.9989009759662685
imagenet,learned,noise,0.05605,0.9974522400954743,0.0014420883694899588,0.9960101517259843,0.9988943284649643
imagenet,learned,noise,0.0562875,0.9974353220807299,0.001451272318120317,0.9959840497626096,0.9988865943988503
imagenet,learned,noise,0.056525,0.9974184040659858,0.0014604839523501567,0.9959579201136356,0.998878888018336
