dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources,architecture,source_index
imagenet,sinusoidal,123,0.025000000000000001,0.020098932352603301,0.998404255319149,10,0.00013586236034010001,0.00087262547637309996,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,1
imagenet,sinusoidal,123,0.050000000000000003,0.040972834157990898,0.99875886524822699,10,0.00025513923392179999,0.0010993543284715001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,2
imagenet,sinusoidal,123,0.10000000000000001,0.085906368937151895,0.99822695035460995,10,0.00046777788523360002,0.0021795613374213998,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,3
imagenet,sinusoidal,123,0.20000000000000001,0.1805116374003066,0.991808510638298,10,0.00087656041186960003,0.0043348555864934002,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/noise_all_families.json,vitb_amp,4
imagenet,sinusoidal,456,0.01,0.0082513607388381999,1.000071098471383,10,7.0849759349398558e-05,0.00078244218600400002,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,0
imagenet,sinusoidal,456,0.025000000000000001,0.020726955225029799,0.99939566299324556,10,0.0001757115653746,0.0015363595694620001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,1
imagenet,sinusoidal,456,0.050000000000000003,0.042174093299387302,0.99825808745111999,10,0.00035139781851780002,0.0016286396064489001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,2
imagenet,sinusoidal,456,0.10000000000000001,0.087960753915121898,0.99626733025239955,10,0.00068239231124200004,0.0024983017706253999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,3
imagenet,sinusoidal,456,0.20000000000000001,0.1834249004184399,0.98816210451475295,10,0.0010583639534091,0.0038763340415311001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/noise_all_families.json,vitb_amp,4
imagenet,sinusoidal,789,0.01,0.0082335514336063995,0.99911660777385158,10,7.3395629043699939e-05,0.00069183392959180001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,0
imagenet,sinusoidal,789,0.025000000000000001,0.020727932488189299,0.99816254416961125,10,0.00019069364845440001,0.0011149266964616,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,1
imagenet,sinusoidal,789,0.050000000000000003,0.042412363932143503,0.99621908127208481,10,0.00040272969719800002,0.0014236965011439999,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,2
imagenet,sinusoidal,789,0.10000000000000001,0.089099064087223095,0.99346289752650163,10,0.00075646798561710001,0.0024832943041587,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,3
imagenet,sinusoidal,789,0.20000000000000001,0.18468987134887829,0.98363957597173157,10,0.0010864457041891999,0.0037286175622308002,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/noise_all_families.json,vitb_amp,4
imagenet,sinusoidal,1011,0.01,0.0086924967407172992,0.99901719901719921,10,0.0001798169247458,0.0008239998531255,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,0
imagenet,sinusoidal,1011,0.025000000000000001,0.021741212473403101,0.99863109863109878,10,0.00040828857739179999,0.00092792231467869995,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,1
imagenet,sinusoidal,1011,0.050000000000000003,0.043985560978728203,0.99849069849069838,10,0.0005240467801478,0.0015614146713891,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,2
imagenet,sinusoidal,1011,0.10000000000000001,0.090793623238346305,0.99498069498069497,10,0.00090238617208689999,0.0024656230568738001,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,3
imagenet,sinusoidal,1011,0.20000000000000001,0.18656388633627999,0.98336258336258342,10,0.0015576741941272,0.0035649534383738,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/noise_all_families.json,vitb_amp,4
imagenet,sinusoidal,1213,0.01,0.0080297304718175994,0.99939177101967802,10,4.8486101401927853e-05,0.00069642463068120004,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,0
imagenet,sinusoidal,1213,0.025000000000000001,0.020208058528141899,0.99917710196779963,10,0.00012423670454719999,0.00095482976273089995,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,1
imagenet,sinusoidal,1213,0.050000000000000003,0.041293941695551499,0.99960644007155641,10,0.00026092558865250002,0.0016477825419667,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,2
imagenet,sinusoidal,1213,0.10000000000000001,0.086668621130844198,0.99964221824686961,10,0.00054020020442879996,0.0018398626858129,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,3
imagenet,sinusoidal,1213,0.20000000000000001,0.1805925295301252,0.99334525939177121,10,0.0009171525868541,0.0036997701165397,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_6_seeds_1213/noise_all_families.json,vitb_amp,4
,learned,42,0,0,1,10,0,0,,vits_amp,0
,learned,42,0.0025000000000000001,0.0043972723234649968,0.99899814471243042,10,4.2239589570170848e-05,0.00058145500425695539,,vits_amp,1
,learned,42,0.0050000000000000001,0.0087913611934819814,0.99866419294990716,10,8.3462664667304859e-05,0.00086048371705265076,,vits_amp,2
,learned,42,0.01,0.017632727887405126,0.99792207792207788,10,0.00016328749409346173,0.00097703983466325027,,vits_amp,3
,learned,42,0.02,0.035660524917877655,0.9974025974025974,10,0.00032251388067703989,0.00090890157431660506,,vits_amp,4
,learned,42,0.040000000000000001,0.073634836381802252,0.99621521335807039,10,0.00065530834803834625,0.0024786592553865715,,vits_amp,5
,learned,42,0.059999999999999998,0.1135590519466199,0.99124304267161401,10,0.00095421361363748553,0.0033105318030717023,,vits_amp,6
,learned,42,0.080000000000000002,0.15389814713806763,0.98371057513914661,10,0.0012017949122841861,0.0044266744974880727,,vits_amp,7
,learned,42,0.12,0.23261875027010884,0.95643784786641928,10,0.0016248144926290303,0.008524817019710711,,vits_amp,8
,learned,123,0,0,1,10,0,0,,vits_amp,0
,learned,123,0.0025000000000000001,0.0044734901491575094,1,10,9.0185274953042882e-05,0.00055396209030099321,,vits_amp,1
,learned,123,0.0050000000000000001,0.0089434369217823041,0.9994425863991081,10,0.00018042730059510305,0.00086265256268945991,,vits_amp,2
,learned,123,0.01,0.017938413455581458,0.99910813823857292,10,0.00035866391095657884,0.00086176277125856761,,vits_amp,3
,learned,123,0.02,0.03628490423760334,0.9986622073578596,10,0.00070590274642050668,0.0013248846235224662,,vits_amp,4
,learned,123,0.040000000000000001,0.074935207350020072,0.99535488665923444,10,0.0013500804905831583,0.0023971265304550725,,vits_amp,5
,learned,123,0.059999999999999998,0.11551792579674296,0.99197324414715715,10,0.0019066049834120815,0.0023645811963810565,,vits_amp,6
,learned,123,0.080000000000000002,0.15650607142963086,0.98621330360460802,10,0.0023977461048249491,0.0041913007511212427,,vits_amp,7
,learned,123,0.12,0.2366683222930849,0.96885916016350804,10,0.0032488144825785501,0.0092576330678621251,,vits_amp,8
,learned,456,0,0,1,10,0,0,,vits_amp,0
,learned,456,0.0025000000000000001,0.0044512216819683533,0.99952029520295205,10,4.6095318154271088e-05,0.00052329759867612933,,vits_amp,1
,learned,456,0.0050000000000000001,0.0088982639573751132,0.99896678966789665,10,9.1902610397963188e-05,0.00057165805848080143,,vits_amp,2
,learned,456,0.01,0.017849502361685973,0.99782287822878235,10,0.00018016043403911079,0.0010925666908340875,,vits_amp,3
,learned,456,0.02,0.036136890078726121,0.99487084870848719,10,0.00034815882666765371,0.0018115037208315458,,vits_amp,4
