scope,scope_key,support_multiplier,rho_endpoint,architecture,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
architecture,vits_amp,1,0.087345571591429264,vits_amp,rope,RoPE,123,0.88611587009884762,0.99879704917246448,0.11268117907361686
architecture,vits_amp,1,0.087345571591429264,vits_amp,rope,RoPE,456,0.8002886045149934,0.99969934858659582,0.19941074407160242
architecture,vits_amp,1,0.087345571591429264,vits_amp,rope,RoPE,789,0.9495485085685833,0.99936295921852858,0.049814450649945274
architecture,vits_amp,1,0.087345571591429264,vits_amp,rope,RoPE,1011,0.8834837134225032,0.9992239897262325,0.11574027630372929
architecture,vits_amp,1,0.087345571591429264,vits_amp,rope,RoPE,1213,0.84763950298300439,0.99887969732337178,0.1512401943403674
family,learned,1,0.099523853759162673,vitb_amp,learned,Learned,42,0.99607851764394861,0.99908428706484909,0.0030057694209004726
family,learned,1,0.099523853759162673,vitb_amp,learned,Learned,123,0.99305903932804118,0.99669630310508461,0.0036372637770434313
family,learned,1,0.099523853759162673,vitb_amp,learned,Learned,456,0.98851917780589993,0.99830594587358734,0.0097867680676874125
family,learned,1,0.099523853759162673,vitb_amp,learned,Learned,789,0.9918515768132844,0.99898683287521106,0.0071352560619266647
family,learned,1,0.099523853759162673,vitb_amp,learned,Learned,1011,0.99153441445304313,0.99658727425902238,0.0050528598059792484
family,learned,1,0.099523853759162673,vitb_amp,learned,Learned,1213,0.99427047903364596,0.99630486756653736,0.0020343885328913958
family,learned,1,0.099523853759162673,vits_amp,learned,Learned,42,0.81415021740673765,0.99672970255720084,0.18257948515046318
family,learned,1,0.099523853759162673,vits_amp,learned,Learned,123,0.72973852101805026,0.9971540034150439,0.26741548239699364
family,learned,1,0.099523853759162673,vits_amp,learned,Learned,456,0.72276988688749944,0.99423639699596533,0.2714665101084659
family,learned,1,0.099523853759162673,vits_amp,learned,Learned,789,0.70542309419815119,0.99668238348094407,0.29125928928279288
family,learned,1,0.099523853759162673,vits_amp,learned,Learned,1011,0.61934392620455081,0.99768234388615606,0.37833841768160525
family,learned,1,0.099523853759162673,vits_amp,learned,Learned,1213,0.65646227950006564,0.99813941845126597,0.34167713895120033
family,sinusoidal,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,42,0.84769423316708181,0.99924739175692812,0.1515531585898463
family,sinusoidal,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,123,0.87845854334250539,0.99867984626341189,0.12022130292090649
family,sinusoidal,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,456,0.8996074809676331,0.99826852757057816,0.098661046602945057
family,sinusoidal,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,789,0.88503730881105425,0.99643902732900735,0.11140171851795311
family,sinusoidal,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,1011,0.8658601049963337,0.99785265164177661,0.13199254664544291
family,sinusoidal,1,0.087345571591429264,vitb_amp,sinusoidal,Sinusoidal,1213,0.86511345296823272,0.99952733864869137,0.13441388568045864
family,sinusoidal,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,42,0.68771454564931955,0.9986000847876757,0.31088553913835615
family,sinusoidal,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,123,0.74737097445423195,1.0009374037935581,0.25356642933932616
family,sinusoidal,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,456,0.70253372110925727,0.99893896852978736,0.29640524742053009
family,sinusoidal,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,789,0.71067657068336143,0.99984310729978609,0.28916653661642466
family,sinusoidal,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,1011,0.7158824494089765,0.99973343184297891,0.28385098243400242
family,sinusoidal,1,0.087345571591429264,vits_amp,sinusoidal,Sinusoidal,1213,0.71804899472040584,0.99633775902163646,0.27828876430123062
family,rope,1,0.10646703102864417,vitb_amp,rope,RoPE,42,0.93678668109192176,0.99819544991761,0.061408768825688242
family,rope,1,0.10646703102864417,vitb_amp,rope,RoPE,123,0.90225836760447065,0.99886181087967907,0.096603443275208423
family,rope,1,0.10646703102864417,vitb_amp,rope,RoPE,456,0.91474242868126843,0.99921224606633441,0.084469817385065982
family,rope,1,0.10646703102864417,vitb_amp,rope,RoPE,789,0.87454666074183296,0.99928448952585658,0.12473782878402362
family,rope,1,0.10646703102864417,vitb_amp,rope,RoPE,1011,0.94776412030165802,0.99825162256399724,0.050487502262339223
family,rope,1,0.10646703102864417,vitb_amp,rope,RoPE,1213,0.92054540185617006,0.99929251899432781,0.078747117138157741
family,rope,1,0.10646703102864417,vits_amp,rope,RoPE,42,0.70749100506618756,0.99908453466395775,0.29159352959777018
family,rope,1,0.10646703102864417,vits_amp,rope,RoPE,123,0.79238530378826388,0.99842343735307937,0.20603813356481548
