dataset,family,seed,budget,rho,accuracy,attack_loss,sources,source_classes,architecture,source_index
imagenet,rope,42,0.074999999999999997,0.1438183980399742,0.31793292265571521,3.5095719963312151,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,6
imagenet,rope,42,0.080000000000000002,0.1522134332619591,0.18514715947980831,4.1100465893745426,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,7
imagenet,rope,42,0.089999999999999997,0.16506901889193179,0.088295687885010202,4.7608840122818954,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,8
imagenet,rope,42,0.10000000000000001,0.176901511386934,0.060232717316906201,5.0555962458252903,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_1_seeds_42/attacks_rope.json,base,vitb_amp,9
imagenet,rope,123,0.012500000000000001,0.0235016929777985,0.99552803577571358,0.72656959909945729,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,0
imagenet,rope,123,0.025000000000000001,0.0311723320471512,0.99174406604747156,0.76180317802354691,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,1
imagenet,rope,123,0.037499999999999999,0.049796202749105602,0.96560027519779845,0.86250009839423003,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,2
imagenet,rope,123,0.050000000000000003,0.076738277378934794,0.88441692466460264,1.1458458694163709,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,3
imagenet,rope,123,0.059999999999999998,0.095947901329976298,0.71620227038183693,1.7775528710335493,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,4
imagenet,rope,123,0.070000000000000007,0.11112375611600719,0.42380460956312338,2.9887392751872541,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,5
imagenet,rope,123,0.074999999999999997,0.1165356714549196,0.28207774337805291,3.5449627175927163,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,6
imagenet,rope,123,0.080000000000000002,0.1227555190796102,0.1874785001719986,4.0604129865765568,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,7
imagenet,rope,123,0.089999999999999997,0.13404201837397589,0.097007223942208398,4.6494890764355663,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,8
imagenet,rope,123,0.10000000000000001,0.14415854635621569,0.067767457860337096,4.9857633337378502,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_2_seeds_123/attacks_rope.json,base,vitb_amp,9
imagenet,rope,456,0.012500000000000001,0.0229331929069427,1.0017152658662092,0.7476379223167896,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,0
imagenet,rope,456,0.025000000000000001,0.033084272233757102,0.99348198970840484,0.78712472761981189,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,1
imagenet,rope,456,0.037499999999999999,0.052246759314516202,0.96123499142367075,0.89478129921481009,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,2
imagenet,rope,456,0.050000000000000003,0.079575364254518596,0.88885077186963979,1.1560240447521211,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,3
imagenet,rope,456,0.059999999999999998,0.098828950539468399,0.71972555746140654,1.7806172009557486,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,4
imagenet,rope,456,0.070000000000000007,0.1132694308169014,0.39656946826758149,3.0975724555552007,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,5
imagenet,rope,456,0.074999999999999997,0.1191714425983529,0.24905660377358491,3.7395365498960018,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,6
imagenet,rope,456,0.080000000000000002,0.12577415092758359,0.17358490566037729,4.1653824657201763,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,7
imagenet,rope,456,0.089999999999999997,0.1352792164187526,0.084734133790737506,4.7409865200519565,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,8
imagenet,rope,456,0.10000000000000001,0.14678083606675321,0.062435677530017102,4.977370947599411,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_3_seeds_456/attacks_rope.json,base,vitb_amp,9
imagenet,rope,789,0.012500000000000001,0.019635474449633299,0.99693356047700155,0.76524248258210714,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,0
imagenet,rope,789,0.025000000000000001,0.028172269668562001,0.99080068143100519,0.81558506442233925,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,1
imagenet,rope,789,0.037499999999999999,0.045387610750475198,0.96252129471890979,0.93174222786910843,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,2
imagenet,rope,789,0.050000000000000003,0.073490619135752805,0.86950596252129475,1.2415039813611657,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,3
imagenet,rope,789,0.059999999999999998,0.093594987318390901,0.6606473594548552,1.9592162491753695,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,4
imagenet,rope,789,0.070000000000000007,0.1120487662403698,0.34412265758091992,3.3965227074921129,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,5
imagenet,rope,789,0.074999999999999997,0.1177914926795318,0.21396933560476999,4.046816159784794,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,6
