dataset,pe_type,seed,direction,kind,functional_gain,probe_radius,rho_rel_calibration,rho_rel_heldout,delta_ce,damage_efficiency,parameter_radius_global_rms,parameter_space_cosine_to_task_gradient,attention_task_alignment_cosine,source_file
cifar,rope,1213,random_30,gaussian random,2.4314487481319,0.0001,0.0299986591657895,0.0300491915045513,0.0020762979984283,0.0690966343674792,0.0300455251440338,-0.0273241810500621,0.0001066140867646,cifar_seeds_1011_1213.json
cifar,rope,1213,random_31,gaussian random,2.3725261483310023,0.0001,0.0299887621711224,0.0300720473477955,-0.0023984909057617,-0.0797581514162368,0.0312141215087431,-0.0013659899123013,-0.0002234936441862,cifar_seeds_1011_1213.json
cifar,rope,1213,task_gradient,held-out task-gradient ascent,3.4884233703160548,0.0001,0.0299966932183241,0.0300835383951936,-0.0175885558128356,-0.584657149760208,0.0122673314231101,1.0,-0.0009386864210419,cifar_seeds_1011_1213.json
cifar,alibi,42,random_00,gaussian random,4.299882733809746,0.0001,0.029743499412267,0.0297879496361322,-0.0012819170951843,-0.0430347543501074,0.0069769344554705,-0.4288237392902374,-3.0610045069257564e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_01,gaussian random,4.305816973867767,0.0001,0.0297324348490139,0.0297782134834292,0.0054889321327209,0.1843271133701618,0.0069673189041874,-0.0856372267007827,7.457016444568329e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_02,gaussian random,4.440593613705003,0.0001,0.0296258356098127,0.0296313345066779,0.0015830695629119,0.0534255236649977,0.0067558535208921,0.2281749099493026,-0.0002726495755936,cifar_seeds_42_123.json
cifar,alibi,42,random_03,gaussian random,4.32748496312987,0.0001,0.0297467901070979,0.0297913231730377,-0.0082985460758209,-0.2785558072603976,0.0069324331004266,0.5210853219032288,-0.0002686861469524,cifar_seeds_42_123.json
cifar,alibi,42,random_04,gaussian random,4.3156588282232144,0.0001,0.0297910805934658,0.0298255794054903,-0.0065450370311737,-0.2194437513582343,0.0069514299424709,0.2301521897315979,-0.0001951320026524,cifar_seeds_42_123.json
cifar,alibi,42,random_05,gaussian random,4.330715601899109,0.0001,0.0298198253615193,0.0298409134934928,-0.0061977207660675,-0.2076920590054655,0.0069272616255023,0.3091539442539215,-0.0001512571016941,cifar_seeds_42_123.json
cifar,alibi,42,random_06,gaussian random,4.34176978194752,0.0001,0.0298821709469984,0.0299743436671742,0.0102816820144653,0.3430160849768696,0.0069096247628641,0.0097524924203753,5.666279301521825e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_07,gaussian random,4.371055430598322,0.0001,0.0297891022292602,0.029852070526062,0.0288878977298736,0.9677016441674748,0.0068633309451977,-0.2436320632696151,0.0003420169855929,cifar_seeds_42_123.json
cifar,alibi,42,random_08,gaussian random,4.343017467032294,0.0001,0.0297255591680841,0.0297662579158465,-0.0177010148763656,-0.5946671202812581,0.0069076397292272,0.3479562997817993,-0.0003108850202551,cifar_seeds_42_123.json
cifar,alibi,42,random_09,gaussian random,4.306462352684079,0.0001,0.0297850239429744,0.0298341391785338,0.0067242681980133,0.2253883766437455,0.0069662747617663,-0.249459758400917,6.1401723026975e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_10,gaussian random,4.312262555238588,0.0001,0.0298513396433953,0.0299133899224478,0.0082834362983703,0.2769139946975463,0.0069569047839064,0.2598369419574737,1.6707849657082086e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_11,gaussian random,4.389559729809739,0.0001,0.0296075779543267,0.02964779760139,0.0141429305076599,0.4770314037423416,0.0068343984013404,0.2193259000778198,-1.037916387278701e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_12,gaussian random,4.314352814375157,0.0001,0.0297590062668491,0.0298085000821068,0.0082113146781921,0.2754688983200847,0.0069535342357819,-0.5868964195251465,0.0001016837497499,cifar_seeds_42_123.json
cifar,alibi,42,random_13,gaussian random,4.408934319380569,0.0001,0.0297590342930521,0.0297913333337164,-0.0005795955657958,-0.0194551737347028,0.0068043653696829,0.0379423089325428,-3.636319393765867e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_14,gaussian random,4.3444395523222825,0.0001,0.0297709962826517,0.0297733501025936,0.0087219774723052,0.2929457868278479,0.0069053786198875,-0.504238486289978,9.761850442822656e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_15,gaussian random,4.400476257711409,0.0001,0.0296474051488812,0.0296761945474922,0.0195637047290802,0.6592389970274471,0.0068174438954028,-0.1318037658929824,0.0001298882142031,cifar_seeds_42_123.json
cifar,alibi,42,random_16,gaussian random,4.387575496576939,0.0001,0.029865479124981,0.0299479241437861,0.0305045843124389,1.018587604469018,0.0068374891835833,-0.1329645812511444,0.0003767325101976,cifar_seeds_42_123.json
cifar,alibi,42,random_17,gaussian random,4.348719655763816,0.0001,0.0298576255740274,0.0298951905242452,0.0025577247142791,0.0855563945044887,0.0068985821976907,0.1176519989967346,-0.0001016539296848,cifar_seeds_42_123.json
cifar,alibi,42,random_18,gaussian random,4.370615123536077,0.0001,0.029680007612679,0.0296899754980272,0.0027870386838912,0.0938713702905035,0.0068640223748936,0.0447943322360515,-8.819575958773141e-05,cifar_seeds_42_123.json
