scope,endpoint_multiplier,endpoint,architecture,family,metric,n_seeds,mean,sd,ci95_low,ci95_high,positive_seeds,exact_sign_flip_p
vitb,0.9,0.08617330295291548,vitb,alibi,gap,6,0.1162521200575029,0.0221643109673815,0.09782196778437242,0.12812645706035736,6,0.03125
vitb,0.9,0.08617330295291548,vitb,learned,noise_nauc,6,0.99810619201908,0.001083484331118683,0.9973835223896756,0.9988910788069755,6,0.03125
vitb,0.9,0.08617330295291548,vitb,learned,adversarial_nauc,6,0.9938290866874979,0.0024216089103564886,0.9920265351252443,0.9955590626047135,6,0.03125
vitb,0.9,0.08617330295291548,vitb,learned,gap,6,0.004277105331582136,0.0025908502497972922,0.002560745745358269,0.006306211310724064,6,0.03125
vitb,0.9,0.08617330295291548,vitb,rope,noise_nauc,6,0.9990903518283054,0.0004890769900524872,0.998716223794987,0.9994348665174381,6,0.03125
vitb,0.9,0.08617330295291548,vitb,rope,adversarial_nauc,6,0.9576810619093625,0.011340072556339018,0.9486651007029735,0.9652614545979689,6,0.03125
vitb,0.9,0.08617330295291548,vitb,rope,gap,6,0.04140928991894297,0.011671919549681522,0.03359798272356066,0.05058021129507643,6,0.03125
vitb,0.9,0.08617330295291548,vitb,sinusoidal,noise_nauc,6,0.9983519603020704,0.0010962393789651175,0.9974855209512924,0.9990852014484904,6,0.03125
vitb,0.9,0.08617330295291548,vitb,sinusoidal,adversarial_nauc,6,0.8787601921870212,0.016966448292576233,0.8659774420170568,0.8910615991050408,6,0.03125
vitb,0.9,0.08617330295291548,vitb,sinusoidal,gap,6,0.11959176811504936,0.017554639432080785,0.1068221506235255,0.132357182810617,6,0.03125
vitb,1.0,0.0957481143921283,vitb,alibi,noise_nauc,6,0.9556549903787402,0.009206885959960038,0.9496103462359899,0.9629649616138708,6,0.03125
vitb,1.0,0.0957481143921283,vitb,alibi,adversarial_nauc,6,0.8130800201101721,0.021237946897150653,0.8007572701331808,0.8305926124846952,6,0.03125
vitb,1.0,0.0957481143921283,vitb,alibi,gap,6,0.14257497026856808,0.024434850895081454,0.1223456966006408,0.15575762000800858,6,0.03125
vitb,1.0,0.0957481143921283,vitb,learned,noise_nauc,6,0.9977878784977335,0.0012208007543125401,0.9969632851039988,0.9986635551493617,6,0.03125
vitb,1.0,0.0957481143921283,vitb,learned,adversarial_nauc,6,0.9929395619240137,0.002542184981399007,0.9910239303019291,0.9947297701216132,6,0.03125
vitb,1.0,0.0957481143921283,vitb,learned,gap,6,0.004848316573719831,0.0028159719920258603,0.0029476008370811213,0.006998347844863417,6,0.03125
vitb,1.0,0.0957481143921283,vitb,rope,noise_nauc,6,0.9989814975428114,0.0004992528369494286,0.9986109345582369,0.9993316517817038,6,0.03125
vitb,1.0,0.0957481143921283,vitb,rope,adversarial_nauc,6,0.9412162714039511,0.016797874652506293,0.9280571652625152,0.9524553345334891,6,0.03125
