scope,endpoint_multiplier,endpoint,architecture,family,seed,noise_nauc,adversarial_nauc,adversarial_raw_nauc,gap,raw_gap
cross,1.0,0.07923839733806452,vitb,alibi,1011,0.9629597123698531,0.8524879838332641,0.8524879838332641,0.11047172853658904,0.11047172853658904
cross,0.9,0.07131455760425807,vitb,alibi,1011,0.9694745921692368,0.8794768931716268,0.8794768931716268,0.08999769899761001,0.08999769899761001
cross,0.75,0.05942879800354839,vitb,alibi,1011,0.9784189757667586,0.9145195079676103,0.9145195079676103,0.06389946779914835,0.06389946779914835
vitb,1.0,0.0957481143921283,vitb,alibi,1011,0.948505219347634,0.7941784561410845,0.7941784561410845,0.15432676320654948,0.15432676320654948
vitb,0.9,0.08617330295291548,vitb,alibi,1011,0.9570080360509707,0.8280588819570284,0.8280588819570284,0.12894915409394236,0.12894915409394236
vitb,0.75,0.07181108579409623,vitb,alibi,1011,0.9690770848996147,0.8778611883268818,0.8778611883268818,0.09121589657273299,0.09121589657273299
cross,1.0,0.07923839733806452,vitb,alibi,1213,0.9639223807713172,0.9054661762141026,0.9054661762141026,0.058456204557214564,0.058456204557214564
cross,0.9,0.07131455760425807,vitb,alibi,1213,0.9707977557593659,0.9234989350070577,0.9234989350070577,0.04729882075230818,0.04729882075230818
cross,0.75,0.05942879800354839,vitb,alibi,1213,0.9799662145107814,0.9448976732750859,0.9448976732750859,0.03506854123569547,0.03506854123569547
vitb,1.0,0.0957481143921283,vitb,alibi,1213,0.9483800384536875,0.8540845017886842,0.8540845017886842,0.09429553666500323,0.09429553666500323
vitb,0.9,0.08617330295291548,vitb,alibi,1213,0.9575596250348102,0.8852379549030213,0.8852379549030213,0.07232167013178892,0.07232167013178892
vitb,0.75,0.07181108579409623,vitb,alibi,1213,0.9703817636393393,0.9225008224056276,0.9225008224056276,0.04788094123371167,0.04788094123371167
cross,1.0,0.07923839733806452,vits,learned,42,0.9979403363756753,0.9209119814868721,0.9209119814868721,0.07702835488880311,0.07702835488880311
cross,0.9,0.07131455760425807,vits,learned,42,0.9981774526599819,0.936583155726443,0.936583155726443,0.061594296933538906,0.061594296933538906
cross,0.75,0.05942879800354839,vits,learned,42,0.9985236635547987,0.9555098007756383,0.9555098007756383,0.04301386277916042,0.04301386277916042
vits,1.0,0.07923839733806452,vits,learned,42,0.9979403363756753,0.9209119814868721,0.9209119814868721,0.07702835488880311,0.07702835488880311
vits,0.9,0.07131455760425807,vits,learned,42,0.9981774526599819,0.936583155726443,0.936583155726443,0.061594296933538906,0.061594296933538906
vits,0.75,0.05942879800354839,vits,learned,42,0.9985236635547987,0.9555098007756383,0.9555098007756383,0.04301386277916042,0.04301386277916042
cross,1.0,0.07923839733806452,vits,learned,123,0.9985251437177247,0.8213767061703275,0.8213767061703275,0.17714843754739718,0.17714843754739718
cross,0.9,0.07131455760425807,vits,learned,123,0.9986682982043309,0.8659585224606111,0.8659585224606111,0.13270977574371978,0.13270977574371978
cross,0.75,0.05942879800354839,vits,learned,123,0.9988659671776116,0.9191898376583608,0.9191898376583608,0.07967612951925074,0.07967612951925074
vits,1.0,0.07923839733806452,vits,learned,123,0.9985251437177247,0.8213767061703275,0.8213767061703275,0.17714843754739718,0.17714843754739718
vits,0.9,0.07131455760425807,vits,learned,123,0.9986682982043309,0.8659585224606111,0.8659585224606111,0.13270977574371978,0.13270977574371978
vits,0.75,0.05942879800354839,vits,learned,123,0.9988659671776116,0.9191898376583608,0.9191898376583608,0.07967612951925074,0.07967612951925074
cross,1.0,0.07923839733806452,vits,learned,456,0.9980543933452942,0.8570417300386447,0.8570417300386447,0.14101266330664952,0.14101266330664952
cross,0.9,0.07131455760425807,vits,learned,456,0.998245246597082,0.8922356904136698,0.8922356904136698,0.10600955618341223,0.10600955618341223
cross,0.75,0.05942879800354839,vits,learned,456,0.9985231618771458,0.9265464697458464,0.9265464697458464,0.07197669213129942,0.07197669213129942
vits,1.0,0.07923839733806452,vits,learned,456,0.9980543933452942,0.8570417300386447,0.8570417300386447,0.14101266330664952,0.14101266330664952
vits,0.9,0.07131455760425807,vits,learned,456,0.998245246597082,0.8922356904136698,0.8922356904136698,0.10600955618341223,0.10600955618341223
vits,0.75,0.05942879800354839,vits,learned,456,0.9985231618771458,0.9265464697458464,0.9265464697458464,0.07197669213129942,0.07197669213129942
cross,1.0,0.07923839733806452,vits,learned,789,0.9968709261002507,0.818017679457555,0.818017679457555,0.17885324664269575,0.17885324664269575
cross,0.9,0.07131455760425807,vits,learned,789,0.997122367475868,0.8558548498341978,0.8558548498341978,0.14126751764167023,0.14126751764167023
cross,0.75,0.05942879800354839,vits,learned,789,0.9975200315156167,0.9073142454495374,0.9073142454495374,0.09020578606607932,0.09020578606607932
vits,1.0,0.07923839733806452,vits,learned,789,0.9968709261002507,0.818017679457555,0.818017679457555,0.17885324664269575,0.17885324664269575
