support_multiplier,rho_endpoint,family,seed,attack_nauc_amp,attack_nauc_fp32,delta_attack_nauc,noise_nauc_amp,noise_nauc_fp32,delta_noise_nauc,gap_amp,gap_fp32,delta_gap
0.9,0.07131455760425807,sinusoidal,789,0.7997895451717986,0.8488720836058801,-0.0490825384340815,1.000096643404605,0.9981464141735764,0.0019502292310286107,0.20030709823280646,0.14927433056769635,0.05103276766511011
0.9,0.07131455760425807,sinusoidal,1011,0.8177416114481765,0.8093152458140926,0.008426365634083832,0.9996158926354515,0.9994316983801441,0.00018419425530735722,0.181874281187275,0.19011645256605147,-0.008242171378776475
0.9,0.07131455760425807,sinusoidal,1213,0.8180981819829549,0.7681817475828757,0.0499164344000792,0.9967522220146238,0.9986149362767729,-0.0018627142621491233,0.17865404003166885,0.23043318869389717,-0.051779148662228325
0.9,0.07131455760425807,rope,42,0.894425996510561,0.8882076642624523,0.006218332248108638,0.9994526587716848,0.9980769604166664,0.0013756983550183843,0.10502666226112378,0.10986929615421404,-0.0048426338930902535
0.9,0.07131455760425807,rope,123,0.9443314228028938,0.9548492855507464,-0.010517862747852602,0.9990804676476025,0.999844475246541,-0.0007640075989384654,0.05474904484470866,0.044995189695794524,0.009753855148914137
0.9,0.07131455760425807,rope,456,0.8886656734000894,0.8926441047000232,-0.0039784312999338045,1.000077845612013,0.9989443723798597,0.0011334732321532925,0.11141217221192357,0.10630026767983647,0.005111904532087097
0.9,0.07131455760425807,rope,789,0.9760677633739918,0.8749449011406284,0.10112286223336342,0.9994665056430583,1.0001014352796593,-0.000634929636601056,0.023398742269066464,0.12515653413903094,-0.10175779186996448
0.9,0.07131455760425807,rope,1011,0.9482245736360537,0.9244412783914715,0.023783295244582225,0.9994902559137121,0.9992641073876788,0.0002261485260333096,0.051265682277658375,0.07482282899620729,-0.023557146718548916
0.9,0.07131455760425807,rope,1213,0.9239598637744411,0.8887952825803097,0.03516458119413135,0.9990626911161785,0.9992124921923192,-0.0001498010761407098,0.07510282734173745,0.11041720961200951,-0.03531438227027206
0.75,0.05942879800354839,learned,42,0.9555007576488108,0.9555098007756383,-9.04312682747932e-06,0.9977260097410307,0.9985236635547987,-0.0007976538137680622,0.042225252092219834,0.04301386277916042,-0.0007886106869405829
0.75,0.05942879800354839,learned,123,0.9248089652447811,0.9191898376583608,0.005619127586420247,0.998618577987573,0.9988659671776116,-0.0002473891900385272,0.07380961274279196,0.07967612951925074,-0.0058665167764587745
0.75,0.05942879800354839,learned,456,0.9093488117434938,0.9265464697458464,-0.017197658002352623,0.9961796113008733,0.9985231618771458,-0.0023435505762725573,0.08683079955737949,0.07197669213129942,0.014854107426080065
0.75,0.05942879800354839,learned,789,0.9328352350241995,0.9073142454495374,0.02552098957466209,0.9977664976105682,0.9975200315156167,0.00024646609495149185,0.06493126258636872,0.09020578606607932,-0.025274523479710598
0.75,0.05942879800354839,learned,1011,0.7726983827097745,0.919814573020173,-0.14711619031039846,0.9988931820309729,0.9992181216413383,-0.00032493961036539343,0.22619479932119835,0.07940354862116528,0.14679125070003307
0.75,0.05942879800354839,learned,1213,0.8751946131974225,0.927420232495233,-0.052225619297810444,0.9988508111106981,0.9986790675822207,0.00017174352847737495,0.12365619791327553,0.07125883508698772,0.05239736282628782
0.75,0.05942879800354839,sinusoidal,42,0.8652542561407703,0.8856983703607786,-0.020444114220008247,0.9988755612204278,0.9981272444275694,0.0007483167928583612,0.13362130507965742,0.11242887406679081,0.021192431012866608
0.75,0.05942879800354839,sinusoidal,123,0.886783411958519,0.8746107879431553,0.012172624015363676,1.0009393870735055,1.0000878776325983,0.0008515094409071722,0.11415597511498654,0.12547708968944304,-0.011321114574456503
0.75,0.05942879800354839,sinusoidal,456,0.8543568533199525,0.846219358742382,0.008137494577570514,0.9992243174727666,0.9999003884267683,-0.000676070954001684,0.14486746415281415,0.15368102968438635,-0.008813565531572198
0.75,0.05942879800354839,sinusoidal,789,0.8526420599052484,0.8921485564545103,-0.03950649654926186,1.00012426085864,0.9986649812728433,0.0014592795857967245,0.1474822009533916,0.10651642481833301,0.040965776135058585
0.75,0.05942879800354839,sinusoidal,1011,0.8705782835391461,0.862221473662028,0.008356809877118176,0.9994339780529923,0.9995799908142197,-0.0001460127612273876,0.12885569451384615,0.13735851715219172,-0.008502822638345564
0.75,0.05942879800354839,sinusoidal,1213,0.8765884151667198,0.8369527353698281,0.039635679796891754,0.9970422709246893,0.9987669017140343,-0.0017246307893449275,0.12045385575796952,0.1618141663442062,-0.04136031058623668
0.75,0.05942879800354839,rope,42,0.944306305940088,0.9380912571428885,0.006215048797199474,0.9995700491380957,0.9982806445911716,0.0012894045469240556,0.05526374319800764,0.06018938744828306,-0.004925644250275418
0.75,0.05942879800354839,rope,123,0.9660410015224923,0.9710666474120888,-0.005025645889596531,0.9992747751081272,0.9999057081011801,-0.0006309329930528351,0.03323377358563495,0.028839060689091256,0.0043947128965436955
0.75,0.05942879800354839,rope,456,0.9412890517763454,0.9435326542901756,-0.0022436025138302673,1.0002939845294847,0.9991700830893198,0.0011239014401649428,0.05900493275313934,0.05563742879914413,0.00336750395399521
0.75,0.05942879800354839,rope,789,0.9849086768266034,0.9394683837040569,0.04544029312254649,0.9995554417069521,1.00011621450975,-0.0005607728027978709,0.014646764880348662,0.060647830805693026,-0.046001065925344364
0.75,0.05942879800354839,rope,1011,0.9726826464788184,0.9602905275108292,0.012392118967989196,0.9996724859903794,0.9994202194017249,0.000252266588654515,0.026989839511560976,0.03912969189089566,-0.012139852379334681
0.75,0.05942879800354839,rope,1213,0.961576875532831,0.9383062779852499,0.023270597547581096,0.999186767986959,0.9992784028511501,-9.163486419105915e-05,0.03760989245412805,0.0609721248659002,-0.023362232411772155
