regime,family,seed,budget,rho,accuracy,rho_sd,accuracy_sd,n_draws,source_index
amp_fp16_trained,rope,789,0.2,0.1795965452416222,0.9963503649635037,0.0029819527466899585,0.0018771697075680392,10,4
amp_fp16_trained,rope,789,0.4,0.36647987356590284,0.9736878693083073,0.00488678189180401,0.005108556294582686,10,5
amp_fp16_trained,rope,789,0.6,0.5562811081906945,0.9059784497740703,0.005537083146376868,0.01786014367914265,10,6
amp_fp16_trained,rope,1011,0.0,9.255418338390144e-05,1.0,1.4285617954820562e-20,0.0,10,0
amp_fp16_trained,rope,1011,0.025,0.022849662398596954,1.000034806822137,0.0003707102028207388,0.0007236322603323729,10,1
amp_fp16_trained,rope,1011,0.05,0.045723626750300395,0.9993386703793943,0.0007376720673123462,0.0010435598942693533,10,2
amp_fp16_trained,rope,1011,0.1,0.09164228291461074,0.9975635224504001,0.0014516374984490106,0.001797416566287229,10,3
amp_fp16_trained,rope,1011,0.2,0.18454670574574328,0.993003828750435,0.0027395732274331603,0.0018596241239260101,10,4
amp_fp16_trained,rope,1011,0.4,0.3747748979243658,0.9707622694048033,0.004466536229080292,0.0033546426023438936,10,5
amp_fp16_trained,rope,1011,0.6,0.5650977458056416,0.91155586494953,0.004968982847035585,0.008320456592016889,10,6
amp_fp16_trained,rope,1213,0.0,9.942226052948393e-05,0.9996496145760337,0.0,0.0,10,0
amp_fp16_trained,rope,1213,0.025,0.023291613393820777,0.9992992291520674,0.0003526858381396317,0.0007569190257425494,10,1
amp_fp16_trained,rope,1213,0.05,0.04660047231261584,0.9989488437281009,0.00070318206179658,0.0012024795773168625,10,2
amp_fp16_trained,rope,1213,0.1,0.09334486819566344,0.9976874562018221,0.0013875634697868235,0.0015246128355132455,10,3
amp_fp16_trained,rope,1213,0.2,0.1876692338413502,0.9933777154870358,0.002626035251018516,0.0021564444595044197,10,4
