support_multiplier,rho_endpoint,regime,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
0.75,0.05942879800354839,full_fp32_trained,rope,RoPE,42,0.9380912571428885,0.9982806445911716,0.06018938744828306
0.75,0.05942879800354839,full_fp32_trained,rope,RoPE,123,0.9710666474120888,0.9999057081011801,0.028839060689091256
0.75,0.05942879800354839,full_fp32_trained,rope,RoPE,456,0.9435326542901756,0.9991700830893198,0.05563742879914413
0.75,0.05942879800354839,full_fp32_trained,rope,RoPE,789,0.9394683837040569,1.00011621450975,0.060647830805693026
0.75,0.05942879800354839,full_fp32_trained,rope,RoPE,1011,0.9602905275108292,0.9994202194017249,0.03912969189089566
0.75,0.05942879800354839,full_fp32_trained,rope,RoPE,1213,0.9383062779852499,0.9992784028511501,0.0609721248659002
0.75,0.05942879800354839,amp_fp16_trained,learned,Learned,42,0.9555007576488108,0.9977260097410307,0.042225252092219834
0.75,0.05942879800354839,amp_fp16_trained,learned,Learned,123,0.9248089652447811,0.998618577987573,0.07380961274279196
0.75,0.05942879800354839,amp_fp16_trained,learned,Learned,456,0.9093488117434938,0.9961796113008733,0.08683079955737949
0.75,0.05942879800354839,amp_fp16_trained,learned,Learned,789,0.9328352350241995,0.9977664976105682,0.06493126258636872
0.75,0.05942879800354839,amp_fp16_trained,learned,Learned,1011,0.7726983827097745,0.9988931820309729,0.22619479932119835
0.75,0.05942879800354839,amp_fp16_trained,learned,Learned,1213,0.8751946131974225,0.9988508111106981,0.12365619791327553
0.75,0.05942879800354839,amp_fp16_trained,sinusoidal,Sinusoidal,42,0.8652542561407703,0.9988755612204278,0.13362130507965742
0.75,0.05942879800354839,amp_fp16_trained,sinusoidal,Sinusoidal,123,0.886783411958519,1.0009393870735055,0.11415597511498654
0.75,0.05942879800354839,amp_fp16_trained,sinusoidal,Sinusoidal,456,0.8543568533199525,0.9992243174727666,0.14486746415281415
0.75,0.05942879800354839,amp_fp16_trained,sinusoidal,Sinusoidal,789,0.8526420599052484,1.00012426085864,0.1474822009533916
0.75,0.05942879800354839,amp_fp16_trained,sinusoidal,Sinusoidal,1011,0.8705782835391461,0.9994339780529923,0.12885569451384615
0.75,0.05942879800354839,amp_fp16_trained,sinusoidal,Sinusoidal,1213,0.8765884151667198,0.9970422709246893,0.12045385575796952
0.75,0.05942879800354839,amp_fp16_trained,rope,RoPE,42,0.944306305940088,0.9995700491380957,0.05526374319800764
0.75,0.05942879800354839,amp_fp16_trained,rope,RoPE,123,0.9660410015224923,0.9992747751081272,0.03323377358563495
0.75,0.05942879800354839,amp_fp16_trained,rope,RoPE,456,0.9412890517763454,1.0002939845294847,0.05900493275313934
0.75,0.05942879800354839,amp_fp16_trained,rope,RoPE,789,0.9849086768266034,0.9995554417069521,0.014646764880348662
0.75,0.05942879800354839,amp_fp16_trained,rope,RoPE,1011,0.9726826464788184,0.9996724859903794,0.026989839511560976
0.75,0.05942879800354839,amp_fp16_trained,rope,RoPE,1213,0.961576875532831,0.999186767986959,0.03760989245412805
