support_multiplier,regime,family,metric,n,mean,sd,cv_abs,median,mad,q1,q3,min,max
,full_fp32_trained,rope,clean_accuracy_percent,6,82.64049268668207,0.34238735324590036,0.004143094288462269,82.66454965357968,0.2886836027713571,82.33256351039262,82.84497690531177,82.27482678983834,83.11200923787528
,full_fp32_trained,rope,epsilon50,6,0.06684782745763147,0.0007912922712783224,0.011837217473968736,0.0669311719017941,0.0007539572218803955,0.06619432092056232,0.06747878201310303,0.06588132635253054,0.06773327194597913
,full_fp32_trained,rope,rho50,6,0.077144340759518,0.007660161666196683,0.09929648229253395,0.0744377134346253,0.0033439354671464874,0.07420228002522754,0.07998709270191344,0.06803823310213959,0.08999169657261336
,full_fp32_trained,rope,cliff_width_rho20_minus_rho80,6,0.04404207074964838,0.004235197407364569,0.09616254039095974,0.045749844506823144,0.0012542518987893152,0.04335103755072088,0.046638077557646276,0.03604199407919823,0.04722515093177165
,full_fp32_trained,rope,max_rho_rel,6,0.11745891701838197,0.008717410211688164,0.07421667450180827,0.11615967044962223,0.003862391714987895,0.1152743621974902,0.12138559584622716,0.10411208324905995,0.13021524753677913
,full_fp32_trained,sinusoidal,clean_accuracy_percent,6,78.85873749037721,0.3758064764547601,0.004765565470796666,78.9838337182448,0.12990762124711352,78.82505773672055,79.03435334872978,78.14665127020785,79.21478060046189
,full_fp32_trained,sinusoidal,epsilon50,6,0.007948415709315943,0.0003230616806357733,0.04064478915680376,0.007964616594007747,0.00021798343447597185,0.007752770928687436,0.008168820212338088,0.007496212121212121,0.008346005154639177
,full_fp32_trained,sinusoidal,rho50,6,0.06797281441433821,0.005075022403470471,0.07466253158998142,0.06897843198179117,0.003919309135073726,0.06436305772674826,0.0708442757977058,0.06106389253555995,0.07452530660880896
,full_fp32_trained,sinusoidal,cliff_width_rho20_minus_rho80,6,0.040243580669234016,0.002651748736397456,0.06589246514102316,0.039657971270650655,0.0016358093074794154,0.03915079611940152,0.04164598562781413,0.03663830060780101,0.04421684605044802
,full_fp32_trained,sinusoidal,max_rho_rel,6,0.08959980200243035,0.006021796799370936,0.06720770207960501,0.09054033394083633,0.002968900298508541,0.0877956624041087,0.09347141504291631,0.07923839733806452,0.0959505328260359
0.75,amp_fp16_trained,learned,attack_nauc,6,0.8950644609280803,0.06562960231445615,0.07332388356298461,0.9170788884941374,0.027089107842367732,0.8837331628339403,0.9308286675793449,0.7726983827097745,0.9555007576488108
0.75,amp_fp16_trained,learned,noise_nauc,6,0.998005781630286,0.0010341664173184218,0.001036232891986924,0.9981925377990706,0.0005624006848337082,0.997736131708415,0.9987927528299168,0.9961796113008733,0.9988931820309729
0.75,amp_fp16_trained,learned,noise_minus_attack_gap,6,0.10294132070220564,0.06612100564142148,0.6423174405611134,0.08032020615008573,0.02674194881079145,0.06715085012547453,0.11444984832430152,0.042225252092219834,0.22619479932119835
0.75,amp_fp16_trained,rope,attack_nauc,6,0.9618007596795298,0.01671650168506277,0.017380420546384966,0.9638089385276616,0.014188170269365197,0.9486239483382738,0.9710222352397369,0.9412890517763454,0.9849086768266034
0.75,amp_fp16_trained,rope,noise_nauc,6,0.9995922507433331,0.00039138800763327666,0.0003915476609009587,0.9995627454225239,0.0001988554411260779,0.9993449417578335,0.9996468767773085,0.999186767986959,1.0002939845294847
0.75,amp_fp16_trained,rope,noise_minus_attack_gap,6,0.03779149106380327,0.01690236371622061,0.4472531577990505,0.0354218330198815,0.014136951843223333,0.02855082303007947,0.05085028051203774,0.014646764880348662,0.05900493275313934
0.75,amp_fp16_trained,sinusoidal,attack_nauc,6,0.8677005466717259,0.013131853157422132,0.015134084227320719,0.8679162698399583,0.011115780923383667,0.857081204025157,0.8750858822598264,0.8526420599052484,0.886783411958519
0.75,amp_fp16_trained,sinusoidal,noise_nauc,6,0.999273295933837,0.0013163498103228508,0.0013173071027508052,0.9993291477628794,0.0006243498191061403,0.9989627502835124,0.9999516901572281,0.9970422709246893,1.0009393870735055
0.75,amp_fp16_trained,sinusoidal,noise_minus_attack_gap,6,0.1315727492621109,0.013178868532869805,0.10016411914153817,0.13123849979675178,0.012206804197422316,0.12255431544693868,0.14205592438452497,0.11415597511498654,0.1474822009533916
0.75,full_fp32_trained,learned,attack_nauc,6,0.9259658598574649,0.016167450505307848,0.01746009351553903,0.9231805213830098,0.0041151974184360784,0.9193460214988138,0.9272017918078863,0.9073142454495374,0.9555098007756383
0.75,full_fp32_trained,learned,noise_nauc,6,0.9985550022247888,0.0005700840401594412,0.0005709090023977541,0.9986013655685098,0.00017140265023285473,0.998523287296559,0.9988192422787638,0.9975200315156167,0.9992181216413383
0.75,full_fp32_trained,learned,noise_minus_attack_gap,6,0.07258914236732382,0.01602404212527307,0.2207498477415037,0.07569012037623235,0.004208647216131511,0.07143829934806564,0.07960798429472937,0.04301386277916042,0.09020578606607932
0.75,full_fp32_trained,rope,attack_nauc,6,0.9484592913408815,0.013905097510863534,0.014660721485689959,0.9415005189971163,0.003301751433047062,0.9385968044149516,0.9561010592056658,0.9380912571428885,0.9710666474120888
0.75,full_fp32_trained,rope,noise_nauc,6,0.9993618787573828,0.0006451352634367602,0.0006455472008187146,0.9993493111264375,0.000367812505930154,0.9991971630297773,0.9997843359263163,0.9982806445911716,1.00011621450975
