regime,family,seed,budget,rho,accuracy,accuracy_percent,attack_loss,restart_loss_min,restart_loss_max,restart_loss_spread,source_index
full_fp32_trained,sinusoidal,789,0.007,0.04731632028898835,0.8160877513711151,64.43418013856812,1.6584196486510336,1.6583399213850498,1.6584196486510336,7.972726598381996e-05,3
full_fp32_trained,sinusoidal,789,0.0075,0.05788505174256291,0.7283363802559415,57.505773672055426,1.9675234219990672,1.9672868294641375,1.9675234219990672,0.00023659253492969157,4
full_fp32_trained,sinusoidal,789,0.008,0.06817758607569392,0.5981718464351006,47.22863741339492,2.3996170572936535,2.39939628764987,2.3996170572936535,0.00022076964378348052,5
full_fp32_trained,sinusoidal,789,0.0085,0.07735045597084712,0.4563071297989031,36.02771362586605,2.913610816001892,2.913551378250122,2.913610816001892,5.943775177019717e-05,6
full_fp32_trained,sinusoidal,789,0.009,0.08500763917879556,0.33089579524680074,26.125866050808312,3.4150632560253142,3.4148150838911535,3.4150632560253142,0.00024817213416072903,7
full_fp32_trained,sinusoidal,789,0.0095,0.08990955736450729,0.22888482632541135,18.0715935334873,3.839526169002056,3.8393911749124525,3.839526169002056,0.0001349940896036017,8
full_fp32_trained,sinusoidal,789,0.01,0.0936335072829131,0.16270566727605118,12.846420323325635,4.160389727354049,4.16030365973711,4.160389727354049,8.60676169391894e-05,9
full_fp32_trained,sinusoidal,1011,0.0,0.0,1.0,78.78175519630484,,,,0.0,0
full_fp32_trained,sinusoidal,1011,0.005,0.02149993440988841,0.9391718578233786,73.98960739030024,1.2797769266180694,1.2797141058836132,1.2797769266180694,6.282073445618153e-05,1
full_fp32_trained,sinusoidal,1011,0.006,0.029928480507225005,0.892634664712349,70.32332563510393,1.432849916163832,1.4328055380377918,1.432849916163832,4.437812604018987e-05,2
full_fp32_trained,sinusoidal,1011,0.007,0.042679765425122265,0.7903994137046538,62.26905311778291,1.7332000922877342,1.7331461585126817,1.7332000922877342,5.3933775052472654e-05,3
full_fp32_trained,sinusoidal,1011,0.0075,0.05306180642048076,0.6991572004397215,55.08083140877598,2.0424020847305657,2.041979809477925,2.0424020847305657,0.0004222752526406026,4
full_fp32_trained,sinusoidal,1011,0.008,0.06476547146857062,0.5610113594723343,44.197459584295615,2.582181989774108,2.5819715593010186,2.582181989774108,0.00021043047308921814,5
full_fp32_trained,sinusoidal,1011,0.0085,0.07497591463930947,0.38915353609380726,30.658198614318707,3.248346474021673,3.2482965260744097,3.248346474021673,4.9947947263540016e-05,6
full_fp32_trained,sinusoidal,1011,0.009,0.08333385002521376,0.24148039574935878,19.024249422632796,3.8369911834597588,3.8369058296084404,3.8369911834597588,8.535385131835938e-05,7
