regime,family,family_label,seed,clean_accuracy_percent,max_rho_rel,epsilon_at_max_rho,min_normalized_accuracy,epsilon_at_min_accuracy,rho_nonmonotone_step_count,raw_accuracy_increase_step_count,q80_status,epsilon80,rho80,q50_status,epsilon50,rho50,q20_status,epsilon20,rho20,q80_epsilon_left,q80_epsilon_right,q80_rho_left,q80_rho_right,q80_accuracy_left,q80_accuracy_right,q80_epsilon_bracket_width,q80_rho_bracket_abs_width,q80_rho_bracket_signed_delta,q50_epsilon_left,q50_epsilon_right,q50_rho_left,q50_rho_right,q50_accuracy_left,q50_accuracy_right,q50_epsilon_bracket_width,q50_rho_bracket_abs_width,q50_rho_bracket_signed_delta,q20_epsilon_left,q20_epsilon_right,q20_rho_left,q20_rho_right,q20_accuracy_left,q20_accuracy_right,q20_epsilon_bracket_width,q20_rho_bracket_abs_width,q20_rho_bracket_signed_delta,cliff_width_rho20_minus_rho80
amp_fp16_trained,learned,Learned,1213,78.11778290993071,0.2575659468832938,0.005,0.02180339985218034,0.006,2,1,IDENTIFIED,0.004073546756529065,0.06583825631301206,IDENTIFIED,0.0042445240101095195,0.14205803767842223,IDENTIFIED,0.004415501263689975,0.21827781904383237,0.004,0.0045,0.03305192020460947,0.2559464274249639,0.9290465631929047,0.05173688100517369,0.0004999999999999996,0.22289450722035442,0.22289450722035442,0.004,0.0045,0.03305192020460947,0.2559464274249639,0.9290465631929047,0.05173688100517369,0.0004999999999999996,0.22289450722035442,0.22289450722035442,0.004,0.0045,0.03305192020460947,0.2559464274249639,0.9290465631929047,0.05173688100517369,0.0004999999999999996,0.22289450722035442,0.22289450722035442,0.15243956273082032
full_fp32_trained,learned,Learned,1213,77.7136258660508,0.09832747088779775,0.008,0.06352154531946509,0.008,0,0,IDENTIFIED,0.005060909090909091,0.057163290923700934,IDENTIFIED,0.005672727272727273,0.07583204948133412,IDENTIFIED,0.0070110363391655455,0.0921419179325689,0.005,0.006,0.055304736951395705,0.0858183096310339,0.8298662704309063,0.3395245170876672,0.001,0.030513572679638196,0.030513572679638196,0.005,0.006,0.055304736951395705,0.0858183096310339,0.8298662704309063,0.3395245170876672,0.001,0.030513572679638196,0.030513572679638196,0.006,0.008,0.0858183096310339,0.09832747088779775,0.3395245170876672,0.06352154531946509,0.002,0.012509161256763851,0.012509161256763851,0.03497862700886797
amp_fp16_trained,rope,RoPE,42,83.08314087759815,0.1212689244789277,0.1,0.08095899930507297,0.1,0,1,IDENTIFIED,0.053377219840783835,0.055351032285771484,IDENTIFIED,0.06659522351500306,0.07474888983866704,IDENTIFIED,0.08696347031963471,0.10344238417064996,0.05,0.075,0.0503948504741329,0.0870831773028084,0.8766504517025712,0.3092425295343989,0.024999999999999994,0.036688326828675503,0.036688326828675503,0.05,0.075,0.0503948504741329,0.0870831773028084,0.8766504517025712,0.3092425295343989,0.024999999999999994,0.036688326828675503,0.036688326828675503,0.075,0.1,0.0870831773028084,0.1212689244789277,0.3092425295343989,0.08095899930507297,0.02500000000000001,0.0341857471761193,0.0341857471761193,0.04809135188487848
full_fp32_trained,rope,RoPE,42,82.85219399538106,0.11519102349761626,0.1,0.07839721254355402,0.1,0,0,IDENTIFIED,0.05272488509520683,0.055176059605607765,IDENTIFIED,0.06685817465528562,0.07414932283281803,IDENTIFIED,0.08778011204481793,0.10047256402702875,0.05,0.075,0.051518032084449925,0.08507933277555473,0.8578397212543554,0.3271777003484321,0.024999999999999994,0.0335613006911048,0.0335613006911048,0.05,0.075,0.051518032084449925,0.08507933277555473,0.8578397212543554,0.3271777003484321,0.024999999999999994,0.0335613006911048,0.0335613006911048,0.075,0.1,0.08507933277555473,0.11519102349761626,0.3271777003484321,0.07839721254355402,0.02500000000000001,0.030111690722061532,0.030111690722061532,0.04529650442142099
amp_fp16_trained,rope,RoPE,123,83.05427251732101,0.12804234538442083,0.1,0.07021202641640598,0.1,0,0,IDENTIFIED,0.05370629370629371,0.0679797371797063,IDENTIFIED,0.0662805944055944,0.08767853599470968,IDENTIFIED,0.08536833855799374,0.11241335572680498,0.05,0.075,0.06217348712926386,0.10133828699781422,0.8884254431699689,0.29197080291970806,0.024999999999999994,0.03916479986855036,0.03916479986855036,0.05,0.075,0.06217348712926386,0.10133828699781422,0.8884254431699689,0.29197080291970806,0.024999999999999994,0.03916479986855036,0.03916479986855036,0.075,0.1,0.10133828699781422,0.12804234538442083,0.29197080291970806,0.07021202641640598,0.02500000000000001,0.02670405838660661,0.02670405838660661,0.04443361854709868
full_fp32_trained,rope,RoPE,123,82.27482678983834,0.13021524753677913,0.1,0.08175438596491227,0.1,0,1,IDENTIFIED,0.053443728018757325,0.07169262217781905,IDENTIFIED,0.06597303634232121,0.08999169657261336,IDENTIFIED,0.08537326388888888,0.1143951707716399,0.05,0.075,0.0666630520225247,0.10317559110734235,0.8824561403508772,0.283859649122807,0.024999999999999994,0.03651253908481765,0.03651253908481765,0.05,0.075,0.0666630520225247,0.10317559110734235,0.8824561403508772,0.283859649122807,0.024999999999999994,0.03651253908481765,0.03651253908481765,0.075,0.1,0.10317559110734235,0.13021524753677913,0.283859649122807,0.08175438596491227,0.02500000000000001,0.027039656429436773,0.027039656429436773,0.04270254859382085
amp_fp16_trained,rope,RoPE,456,82.41916859122402,0.10646703102864417,0.1,0.09842381786339753,0.1,0,1,IDENTIFIED,0.05409861809045226,0.05432693583763903,IDENTIFIED,0.06754868090452261,0.07332034051962767,IDENTIFIED,0.08921130952380953,0.09670353953707929,0.05,0.075,0.048539103237523404,0.08384266453784556,0.8914185639229422,0.333800350262697,0.024999999999999994,0.03530356130032215,0.03530356130032215,0.05,0.075,0.048539103237523404,0.08384266453784556,0.8914185639229422,0.333800350262697,0.024999999999999994,0.03530356130032215,0.03530356130032215,0.075,0.1,0.08384266453784556,0.10646703102864417,0.333800350262697,0.09842381786339753,0.02500000000000001,0.022624366490798617,0.022624366490798617,0.04237660369944026
full_fp32_trained,rope,RoPE,456,82.82332563510393,0.11679496260213246,0.1,0.08295573370512374,0.1,0,0,IDENTIFIED,0.054524248004910986,0.054847290067371865,IDENTIFIED,0.06773327194597913,0.07436115160245609,IDENTIFIED,0.08838865836791149,0.10207244099914352,0.05,0.075,0.048163560102758386,0.08509638273625693,0.9027535726734053,0.33495991634715927,0.024999999999999994,0.03693282263349854,0.03693282263349854,0.05,0.075,0.048163560102758386,0.08509638273625693,0.9027535726734053,0.33495991634715927,0.024999999999999994,0.03693282263349854,0.03693282263349854,0.075,0.1,0.08509638273625693,0.11679496260213246,0.33495991634715927,0.08295573370512374,0.02500000000000001,0.03169857986587553,0.03169857986587553,0.04722515093177165
amp_fp16_trained,rope,RoPE,789,83.05427251732101,0.13858794456698123,0.1,0.07194994786235662,0.1,0,1,IDENTIFIED,0.05503929866989117,0.0815886080246146,IDENTIFIED,0.06808494558645707,0.10108127895256538,IDENTIFIED,0.08810077519379846,0.12565383813132733,0.05,0.075,0.0740589399822339,0.11141368186015138,0.9158846020159889,0.3409801876955162,0.024999999999999994,0.037354741877917486,0.037354741877917486,0.05,0.075,0.0740589399822339,0.11141368186015138,0.9158846020159889,0.3409801876955162,0.024999999999999994,0.037354741877917486,0.037354741877917486,0.075,0.1,0.11141368186015138,0.13858794456698123,0.3409801876955162,0.07194994786235662,0.02500000000000001,0.02717426270682985,0.02717426270682985,0.04406523010671273
full_fp32_trained,rope,RoPE,789,82.27482678983834,0.10411208324905995,0.1,0.07157894736842105,0.1,0,1,IDENTIFIED,0.05344677137870855,0.05275053986287021,IDENTIFIED,0.06588132635253054,0.06803823310213959,IDENTIFIED,0.08459595959595959,0.08879253394206844,0.05,0.075,0.048512898579002574,0.07924920814427047,0.8831578947368419,0.27999999999999997,0.024999999999999994,0.0307363095652679,0.0307363095652679,0.05,0.075,0.048512898579002574,0.07924920814427047,0.8831578947368419,0.27999999999999997,0.024999999999999994,0.0307363095652679,0.0307363095652679,0.075,0.1,0.07924920814427047,0.10411208324905995,0.27999999999999997,0.07157894736842105,0.02500000000000001,0.024862875104789475,0.024862875104789475,0.03604199407919823
